"KabupatenKota","Kasus_Aktif_10Mei2020","Kasus_Aktif_13Mei2020","Kasus_Aktif_1Juni2020","Kasus_Aktif_12Juni2020","Kasus_Aktif_3Juli2020","Kasus_Aktif_20Agustus2020","Kasus_Aktif_1September2020","Kasus_Aktif_1Oktober2020","Kasus_Aktif_19Oktober2020","Total_Sembuh","Total_Kematian","Rt_Susanto_10Mei2020","Rt_Susanto_13Mei2020","Rt_Susanto_1Juni2020","Rt_Susanto_12Juni2020","Rt_Susanto_3Juli2020","Rt_Susanto_20Agustus2020","Rt_Susanto_1September2020","Rt_Susanto_1Oktober2020","Rt_Susanto_19Oktober2020"
"KAB. BANDUNG BARAT",34,36,42,33,24,68,94,106,140,204,6,1.78,1.67,1.63,1.54,1.79,1.47,1.72,2.35,1.44
"KAB. BANDUNG",56,60,66,47,45,164,150,161,182,625,15,1.5,1.45,1.4,1.15,1.43,0.99,0.98,1.38,1.27
"KAB. BEKASI",106,122,131,88,48,177,576,1109,1081,2589,51,1.55,1.48,1.08,1.44,1.15,1.37,1.84,1.41,1.25
"KAB. BOGOR",136,131,172,215,276,394,509,1200,1457,1227,16,1.31,1.22,1.27,1.2,1.25,1.2,1.33,1.45,1.08
"KAB. CIAMIS",4,4,5,8,10,3,7,54,51,84,5,2.78,2.78,2.64,2.53,2.35,3.1,2.76,2.06,1.18
"KAB. CIANJUR",7,10,14,15,21,26,32,29,20,82,2,2.87,2.76,2.21,2.09,1.96,1.9,1.99,1.82,2.09
"KAB. CIREBON",8,6,11,16,17,46,52,387,226,793,58,2.57,2.29,2.37,2.28,2.23,1.46,1.57,0.92,0.83
"KAB. GARUT",12,12,9,12,9,37,37,81,58,231,13,2.12,2.12,2.34,2.5,2.29,1.77,1.43,1.23,1.51
"KAB. INDRAMAYU",7,8,14,16,27,9,10,40,18,140,7,2.44,2.51,2.22,2.03,1.85,2.54,2.31,1.66,1.18
"KAB. KARAWANG",0,0,0,0,14,46,103,303,362,779,37,3.52,0,0,0,1.99,1.66,1.88,1.6,1.29
"KAB. KUNINGAN",3,3,11,10,9,17,40,190,495,300,7,2.95,2.95,2.17,2.27,2.36,1.85,1.95,2.91,0.84
"KAB. MAJALENGKA",1,0,3,4,1,21,29,29,60,134,8,3.49,3.27,2.95,2.78,3.49,1.89,2.56,1.75,1.21
"KAB. PANGANDARAN",1,1,2,6,14,10,18,1,3,68,0,0,3.71,3.36,2.53,2.47,3.17,3.53,0,2.78
"KAB. PURWAKARTA",18,19,17,8,10,61,72,24,47,234,7,2.02,1.94,1.82,1.9,2.22,1.76,1.19,3.35,1.41
"KAB. SUBANG",25,31,31,33,41,56,61,18,32,230,12,2.06,1.97,1.7,1.89,1.55,2.2,1.51,2.27,2.45
"KAB. SUKABUMI",20,22,22,33,28,14,19,126,171,265,4,2.07,1.98,1.86,1.95,1.69,2.14,2.2,2.05,1.27
"KAB. SUMEDANG",5,8,9,8,5,36,28,107,23,188,6,2.53,2.72,2.2,2.53,2.83,1.36,1.67,1.52,0.73
"KAB. TASIKMALAYA",1,1,1,0,1,29,29,16,26,51,2,3.56,3.49,3.49,3.49,3.49,1.69,1.51,2.17,1.89
"KOTA BANDUNG",175,179,218,168,120,373,356,478,573,1336,50,1.29,1.24,1.15,0.82,1.11,1.22,1.38,0.85,1.17
"KOTA BEKASI",369,385,298,347,447,1686,1821,1509,1457,3913,99,1.18,1.18,1.19,1.19,1.29,1.3,1.28,0.96,0.79
"KOTA BOGOR",81,84,83,107,107,205,264,566,610,1106,39,1.28,1.28,1.31,1.53,1.35,1.47,1.54,1.41,1.16
"KOTA CIMAHI",51,54,50,46,44,41,77,141,235,294,4,1.49,1.53,1.27,1.47,1.56,1.73,1.97,1.52,1.41
"KOTA CIREBON",2,2,6,4,19,18,53,122,95,203,17,3.66,3.47,2.35,3.19,2.79,1.8,1.88,1.04,1.59
"KOTA DEPOK",422,445,459,424,475,577,798,1556,1970,3092,107,1.24,1.21,1.01,1.01,1.06,1.32,1.37,1.22,1.25
"KOTA SUKABUMI",54,55,50,43,14,22,13,52,78,285,4,1.5,1.46,1.4,1.49,1.21,2.06,2.52,1.11,0.87
"KOTA TASIKMALAYA",17,17,18,8,3,26,31,11,21,55,3,1.94,1.98,1.85,2.36,1.92,1.97,1.84,2.35,2.42
