"KabupatenKota","Kasus_Aktif_10Mei2020","Kasus_Aktif_13Mei2020","Kasus_Aktif_1Juni2020","Kasus_Aktif_12Juni2020","Kasus_Aktif_3Juli2020","Kasus_Aktif_20Agustus2020","Kasus_Aktif_1September2020","Kasus_Aktif_1Oktober2020","Kasus_Aktif_19Oktober2020","Total_Sembuh","Total_Kematian","Rt_Cori_10Mei2020","Rt_Cori_13Mei2020","Rt_Cori_1Juni2020","Rt_Cori_12Juni2020","Rt_Cori_3Juli2020","Rt_Cori_20Agustus2020","Rt_Cori_1September2020","Rt_Cori_1Oktober2020","Rt_Cori_19Oktober2020"
"KAB. BANDUNG BARAT",-0.259857246328423,-0.257920404040676,-0.228990735786463,-0.298505058520001,-0.361502633917786,-0.269047921554481,-0.281949589463664,-0.460518097968181,-0.421517055911708,-0.505739189027315,-0.559121490415512,1.29237371670261,0.376056530120907,0.389972128416665,-0.0971729659129306,-1.72195544608694,-0.736754004821899,2.05533384253003,2.0337065802986,0.359773188972962
"KAB. BANDUNG",-0.0565216171904505,-0.0458751706791716,-0.00915962943145852,-0.169306674095173,-0.197701440457943,0.0114631946526972,-0.137145849689733,-0.344168119152898,-0.342847319959634,-0.0864858443519901,-0.24982024039842,-0.387712115010784,-1.10377673435488,-0.950758494900133,-0.644580673889109,-1.25258371965357,-1.49574963997804,-1.28845377613991,-0.386607408659717,0.795196920089517
"KAB. BEKASI",0.405604812668579,0.501908348838048,0.586216283613345,0.209060023148966,-0.174301269963679,0.0494490749724192,0.964396885019101,1.66128242479051,1.341059647205,1.86936586334953,0.987384759669947,0.56864443534915,0.77244044024835,-2.08199995832368,1.96613301030497,0.0472149073927061,0.383668123265743,0.476323022602556,-0.252583506991015,0.104524794870154
"KAB. BOGOR",0.682880670583996,0.581425311348612,0.961761090303145,1.38107393900276,1.60411168760033,0.683521077232394,0.791149553503862,1.8537887533758,2.04534109287119,0.513016562998475,-0.215453434840966,0.801271704355621,0.640312470205869,-1.20214548677203,-0.0971729659129306,0.11942594222861,-0.736754004821899,0.0119080755650639,-0.32353733728621,-0.300869713410776
"KAB. CIAMIS",-0.537133104243841,-0.540647381856015,-0.567897024750428,-0.529216459278622,-0.470703429557682,-0.458977323153091,-0.506912542326736,-0.57052171430263,-0.588221972572056,-0.625241330027408,-0.593488295972967,0.387712115010785,0.561035688180381,0.515665624352615,-0.0550646806839938,0.372164564154274,0.853522564076691,0.352479036725891,0.110069403406649,-0.511074273260147
"KAB. CIANJUR",-0.509405518452299,-0.487636073515639,-0.485460359867302,-0.464617267066208,-0.384902804412049,-0.391771534895121,-0.442268015641945,-0.623408068309576,-0.646287730060491,-0.627233032377409,-0.696588712645331,0.465254538012942,0.587461282188877,0.515665624352615,-0.0550646806839938,0.372164564154274,0.708951966904091,0.383440033195057,-0.213164712382573,1.23062065120607
"KAB. CIREBON",-0.500162989855119,-0.522976945742557,-0.512939248161677,-0.455388811035863,-0.416103031737734,-0.333331719018626,-0.390552394294113,0.133924521069899,-0.26043140610508,0.0808171530481396,1.22795239857213,0.387712115010785,0.561035688180381,0.515665624352615,-0.0550646806839938,1.49143560411079,-2.14631732725474,-0.514428864410761,-0.899051738569459,-0.225796656321715
"KAB. GARUT",-0.463192875466396,-0.46996563740218,-0.531258507024594,-0.492302635157243,-0.478503486389103,-0.359629636163049,-0.429339110304987,-0.513404451975127,-0.575110349913377,-0.478851207302294,-0.31855385151333,0.387712115010785,0.561035688180381,0.515665624352615,-0.0550646806839938,0.372164564154274,0.781237265490391,-0.731155839694924,0.464838554882624,-1.09664411855482
"KAB. INDRAMAYU",-0.509405518452299,-0.505306509629098,-0.485460359867302,-0.455388811035863,-0.338102463423523,-0.441445378390142,-0.499155199124561,-0.60013807254652,-0.650033907962971,-0.569473664227364,-0.524754684858058,-0.23262726900647,0.21750296606993,1.43741792788291,-1.61307123415465,-0.422156819040669,0.781237265490391,0.0119080755650639,-0.883284220726082,0.404817023226399
"KAB. KARAWANG",-0.574103218632563,-0.575988254082933,-0.613695171907721,-0.603044107521381,-0.439503202231997,-0.333331719018626,-0.25867755985714,-0.0437736283934419,-0.00569130873645959,0.0668752365981288,0.506249481865582,0.387712115010785,0.561035688180381,-1.03455415885743,-0.265606106828678,-1.32479475448947,0.0945269289205449,0.321518040256725,-0.268351024834392,-0.315884324828588
