"KabupatenKota","Kasus_Aktif_10Mei2020","Kasus_Aktif_13Mei2020","Kasus_Aktif_1Juni2020","Kasus_Aktif_12Juni2020","Kasus_Aktif_3Juli2020","Kasus_Aktif_20Agustus2020","Kasus_Aktif_1September2020","Kasus_Aktif_1Oktober2020","Kasus_Aktif_19Oktober2020","Total_Sembuh","Total_Kematian","Rt_Hasan_10Mei2020","Rt_Hasan_13Mei2020","Rt_Hasan_1Juni2020","Rt_Hasan_12Juni2020","Rt_Hasan_3Juli2020","Rt_Hasan_20Agustus2020","Rt_Hasan_1September2020","Rt_Hasan_1Oktober2020","Rt_Hasan_19Oktober2020"
"KAB. BANDUNG BARAT",-0.259857246328423,-0.257920404040676,-0.228990735786463,-0.298505058520001,-0.361502633917786,-0.269047921554481,-0.281949589463664,-0.460518097968181,-0.421517055911708,-0.505739189027315,-0.559121490415512,1.06969724457666,0.322311629883663,0.315239625248045,-0.817446049660255,0.27218850162886,-0.681426997115022,0.523841428067144,2.03249153697456,0.26350170473648
"KAB. BANDUNG",-0.0565216171904505,-0.0458751706791716,-0.00915962943145852,-0.169306674095173,-0.197701440457943,0.0114631946526972,-0.137145849689733,-0.344168119152898,-0.342847319959634,-0.0864858443519901,-0.24982024039842,-0.185938715746232,0.0950092407945152,-0.373496131088754,-1.00060662790917,-0.746925303400808,-1.30304333473831,-0.935268381339313,-0.378533920443346,0.938909953561928
"KAB. BEKASI",0.405604812668579,0.501908348838048,0.586216283613345,0.209060023148966,-0.174301269963679,0.0494490749724192,0.964396885019101,1.66128242479051,1.341059647205,1.86936586334953,0.987384759669947,0.784237240329609,1.32775825550435,-0.46276422835217,0.886043538533654,-1.21076296915323,-0.113144442551874,-0.510528492428672,0.23806049112487,-0.360339514135791
"KAB. BOGOR",0.682880670583996,0.581425311348612,0.961761090303145,1.38107393900276,1.60411168760033,0.683521077232394,0.791149553503862,1.8537887533758,2.04534109287119,0.513016562998475,-0.215453434840966,0.0468852757381263,-0.499677345548313,0.00802726706135338,-0.829068032615486,0.0837922897827083,-0.686058719356589,-0.607145771897094,0.15180218768908,0.465414329724858
"KAB. CIAMIS",-0.537133104243841,-0.540647381856015,-0.567897024750428,-0.529216459278622,-0.470703429557682,-0.458977323153091,-0.506912542326736,-0.57052171430263,-0.588221972572056,-0.625241330027408,-0.593488295972967,0.259185308644695,-0.0799886434728417,0.513474923407647,0.345075919499891,0.395248993360602,-0.990434580513343,0.282631176349762,1.51157073294891,-1.545890594751
"KAB. CIANJUR",-0.509405518452299,-0.487636073515639,-0.485460359867302,-0.464617267066208,-0.384902804412049,-0.391771534895121,-0.442268015641945,-0.623408068309576,-0.646287730060491,-0.627233032377409,-0.696588712645331,1.75413282367134,2.4096511154411,1.49729149004733,-0.263047189949237,0.0601448728593587,-0.00775746980788389,0.166671064753214,-0.693570666002171,-0.552633227118915
"KAB. CIREBON",-0.500162989855119,-0.522976945742557,-0.512939248161677,-0.455388811035863,-0.416103031737734,-0.333331719018626,-0.390552394294113,0.133924521069899,-0.26043140610508,0.0808171530481396,1.22795239857213,1.07010208141227,0.313219034253923,1.90836343539438,1.57359044869472,0.310640733367002,-0.830104874669882,-0.901827858355005,-0.130185094328879,-0.578595188019619
"KAB. GARUT",-0.463192875466396,-0.46996563740218,-0.531258507024594,-0.492302635157243,-0.478503486389103,-0.359629636163049,-0.429339110304987,-0.513404451975127,-0.575110349913377,-0.478851207302294,-0.31855385151333,0.59547080386679,0.0510330176104352,-0.0889599532732555,0.592424110946327,-0.504641877607953,0.410493917130457,-0.902827372784033,0.828357221779451,-0.228089419155176
"KAB. INDRAMAYU",-0.509405518452299,-0.505306509629098,-0.485460359867302,-0.455388811035863,-0.338102463423523,-0.441445378390142,-0.499155199124561,-0.60013807254652,-0.650033907962971,-0.569473664227364,-0.524754684858058,0.896763101807817,0.592756877317365,0.94181346584663,0.682321664982516,0.203534953648186,-0.588909483707145,-0.868995735047391,-0.569423222101651,-1.25679346168281
"KAB. KARAWANG",-0.574103218632563,-0.575988254082933,-0.613695171907721,-0.603044107521381,-0.439503202231997,-0.333331719018626,-0.25867755985714,-0.0437736283934419,-0.00569130873645959,0.0668752365981288,0.506249481865582,-1.16123312107196,-1.21934607986084,2.12932585052888,1.03705093404057,1.61160499590527,0.50850553089609,1.59287219434757,-0.243455672333556,-0.167694494544405
